gender,senior,partner,deps,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,labels,tenure_map
0,0,1,0,13,1,1,0,1,1,0,1,1,0,0,1,2,76.2,0,1.0
0,0,0,0,49,1,1,1,0,0,0,0,0,1,0,1,2,84.5,0,4.0
1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,3,49.25,0,0.0
0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,1,2,80.65,1,0.0
1,0,0,0,52,1,1,0,1,0,0,1,1,1,2,1,1,79.75,0,4.0
0,0,1,1,69,1,1,0,1,0,1,1,0,0,2,1,1,64.15,0,5.0
0,1,0,0,43,1,1,1,0,1,0,0,1,0,0,1,2,90.25,0,3.0
0,0,0,0,15,1,0,1,1,1,0,0,1,1,0,1,1,99.1,1,1.0
0,1,1,0,25,1,1,0,1,0,0,1,1,0,0,1,1,69.5,0,2.0
0,1,1,0,8,1,1,1,0,1,0,0,0,0,0,1,1,80.65,1,0.0
0,1,1,1,60,1,0,0,1,1,1,1,0,1,1,1,1,74.85,0,4.0
1,1,0,0,18,1,1,1,0,0,0,0,1,1,0,1,2,95.45,1,1.0
0,0,1,1,63,1,1,1,1,0,0,0,1,1,1,1,1,99.65,0,5.0
1,1,1,1,66,1,1,1,0,1,1,1,1,1,1,1,2,108.45,0,5.0
0,0,1,1,34,1,1,2,0,0,0,0,0,0,2,0,1,24.95,0,2.0
0,0,0,0,72,1,1,1,0,0,1,1,1,1,2,1,1,107.5,0,5.0
0,0,1,0,47,1,1,1,0,0,1,0,1,1,0,1,2,100.5,0,3.0
1,0,0,0,60,1,1,1,0,1,0,0,1,0,0,1,0,89.9,0,4.0
1,0,1,0,72,0,0,0,1,1,1,0,0,0,2,0,0,42.1,0,5.0
0,0,1,1,18,1,0,0,0,0,1,1,0,0,1,1,1,54.4,0,1.0
0,0,0,0,9,1,1,1,0,0,0,0,1,1,0,0,2,94.4,1,0.0
0,0,0,0,3,1,0,0,0,1,0,1,1,1,0,1,2,75.3,0,0.0
1,0,1,0,47,1,1,1,0,1,0,0,0,0,1,1,2,78.9,0,3.0
0,0,0,0,31,1,0,0,0,1,1,1,1,1,2,0,3,79.2,0,2.0
0,0,1,1,50,1,0,2,0,0,0,0,0,0,2,0,0,20.15,0,4.0
1,0,0,0,10,1,0,1,1,0,1,0,0,0,0,1,3,79.85,0,0.0
1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3,49.05,0,0.0
0,0,1,1,52,1,0,2,0,0,0,0,0,0,1,1,2,20.4,0,4.0
1,1,1,1,64,1,1,1,1,0,1,1,1,1,2,1,0,111.6,0,5.0
1,0,1,1,62,1,1,2,0,0,0,0,0,0,2,1,0,24.25,0,5.0
0,0,0,1,3,1,0,0,1,0,0,1,0,1,0,1,0,64.5,0,0.0
0,1,0,0,56,1,1,1,1,1,1,0,1,1,1,0,2,110.5,0,4.0
0,0,0,0,46,1,0,0,0,0,0,0,0,1,1,0,1,55.65,0,3.0
0,0,1,1,8,1,0,0,1,1,0,0,0,0,0,0,3,54.65,0,0.0
1,1,0,0,30,1,0,0,1,1,0,0,1,1,0,1,2,74.75,0,2.0
0,0,1,1,45,1,1,2,0,0,0,0,0,0,1,1,1,25.9,0,3.0
0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,2,79.35,1,0.0
0,0,1,1,11,0,0,0,1,0,0,0,1,1,0,0,2,50.55,0,0.0
0,0,1,0,7,1,0,1,0,0,1,0,0,0,0,1,0,75.15,1,0.0
0,0,0,0,42,1,0,1,0,1,1,1,1,1,0,1,0,103.8,0,3.0
0,0,1,0,49,1,0,2,0,0,0,0,0,0,2,1,0,20.15,0,4.0
1,0,0,0,9,1,1,1,0,1,0,0,1,1,0,1,1,99.3,0,0.0
0,0,1,0,35,1,0,0,1,0,0,0,1,0,1,1,0,62.15,0,2.0
0,0,1,1,48,1,0,2,0,0,0,0,0,0,2,0,0,20.65,0,3.0
0,0,1,1,46,1,0,2,0,0,0,0,0,0,2,1,3,19.95,0,3.0
1,0,1,0,29,0,0,0,0,0,0,0,1,0,0,0,3,33.75,0,2.0
1,0,1,1,30,1,0,1,0,1,1,0,0,0,0,0,0,82.05,0,2.0
1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,2,74.7,0,0.0
1,0,1,1,66,1,1,0,1,0,1,1,1,1,2,1,3,84.0,0,5.0
0,0,0,0,65,1,1,1,1,1,1,0,1,1,0,1,1,111.05,0,5.0
1,0,0,0,72,1,1,1,0,1,1,0,1,1,2,1,0,100.9,0,5.0
0,0,0,0,12,1,1,1,1,0,0,0,0,0,0,1,2,78.95,1,0.0
1,0,1,1,71,1,1,0,1,1,0,1,0,0,1,1,1,66.85,0,5.0
1,0,0,0,5,1,0,2,0,0,0,0,0,0,0,0,3,21.05,1,0.0
1,0,0,0,52,1,0,2,0,0,0,0,0,0,2,0,0,21.0,0,4.0
0,1,1,0,25,1,0,1,0,1,1,0,1,1,0,1,2,98.5,1,2.0
1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,3,20.2,0,0.0
0,0,1,1,1,1,0,2,0,0,0,0,0,0,0,0,2,19.45,0,0.0
1,0,0,0,38,1,1,1,0,0,1,1,1,0,1,0,0,95.0,0,3.0
0,1,1,0,66,0,0,0,0,1,1,0,1,0,1,0,0,45.55,0,5.0
1,0,1,0,68,1,1,1,0,1,1,1,1,1,2,1,0,110.0,1,5.0
1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,24.3,0,0.0
0,0,1,1,72,1,1,1,1,1,0,0,1,1,1,1,2,104.15,0,5.0
0,0,0,0,32,0,0,0,1,0,0,0,0,0,1,0,3,30.15,0,2.0
1,0,0,0,43,1,1,1,0,0,0,0,1,1,1,0,3,94.35,0,3.0
1,0,1,1,72,1,0,2,0,0,0,0,0,0,2,0,1,19.4,0,5.0
1,0,1,0,55,1,1,1,1,1,0,0,1,0,0,1,2,96.75,1,4.0
0,0,0,0,52,1,0,0,1,0,1,1,0,0,1,0,1,57.95,0,4.0
0,0,0,0,43,1,0,1,0,1,1,0,1,0,0,1,2,91.65,0,3.0
0,1,1,0,37,1,1,1,0,0,0,0,0,0,0,1,2,76.5,1,3.0
0,0,1,1,64,0,0,0,0,1,0,1,1,1,2,1,2,54.6,0,5.0
1,0,1,1,3,1,0,1,1,1,0,0,1,0,0,0,2,89.85,0,0.0
0,0,0,0,36,0,0,0,1,0,0,0,0,0,2,0,0,31.05,0,2.0
0,0,1,1,10,1,1,1,1,0,0,0,1,1,0,1,2,100.25,1,0.0
0,0,0,0,41,1,0,2,0,0,0,0,0,0,2,0,3,20.65,0,3.0
1,0,1,1,27,1,1,1,0,1,0,1,0,0,0,1,1,85.2,0,2.0
0,0,1,1,56,1,1,1,0,0,1,0,1,1,1,1,1,99.8,0,4.0
0,0,0,0,6,1,0,2,0,0,0,0,0,0,0,0,3,20.7,0,0.0
1,0,0,0,3,1,1,1,0,0,0,0,0,0,0,1,2,74.4,1,0.0
0,0,1,1,7,1,0,0,1,0,0,0,0,0,0,0,3,50.7,0,0.0
0,0,1,1,4,1,0,2,0,0,0,0,0,0,0,0,3,20.85,0,0.0
1,0,0,0,33,1,0,1,1,0,0,1,1,0,2,1,2,88.95,0,2.0
0,1,0,0,27,1,1,1,0,0,1,0,0,0,0,1,2,78.05,1,2.0
1,0,1,0,72,1,1,2,0,0,0,0,0,0,2,1,0,23.55,0,5.0
1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,3,19.75,0,0.0
1,1,0,0,71,0,0,0,1,1,0,0,1,1,1,1,2,56.45,0,5.0
0,0,0,0,13,1,1,1,0,0,0,0,0,1,0,1,2,85.95,0,1.0
0,0,1,1,25,0,0,0,1,1,1,0,1,1,0,1,1,58.6,1,2.0
1,0,0,0,67,1,0,0,0,0,0,1,0,0,2,0,0,50.55,0,5.0
1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,35.45,1,0.0
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,44.35,1,0.0
0,0,0,0,43,1,1,2,0,0,0,0,0,0,2,1,1,25.7,0,3.0
0,0,0,0,23,1,0,1,1,0,0,0,0,0,0,1,0,75.0,0,1.0
0,0,1,1,64,1,0,2,0,0,0,0,0,0,2,0,3,20.2,0,5.0
1,0,0,1,57,1,0,2,0,0,0,0,0,0,2,1,3,19.6,0,4.0
0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,3,70.45,1,0.0
0,1,1,1,72,1,1,0,1,1,1,1,1,1,2,1,1,88.05,0,5.0
0,0,0,0,8,1,1,0,1,0,0,1,0,1,0,0,2,71.15,1,0.0
0,0,1,0,61,1,1,1,0,1,0,0,1,1,2,1,0,101.05,0,5.0
1,0,0,0,64,1,1,1,1,1,0,0,0,0,1,1,1,84.3,0,5.0
1,1,1,0,71,1,1,2,0,0,0,0,0,0,2,0,0,23.95,0,5.0
0,0,1,1,65,1,1,1,1,1,0,1,1,0,2,1,1,99.05,0,5.0
1,0,0,0,3,1,0,2,0,0,0,0,0,0,1,0,3,19.6,0,0.0
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,45.65,1,0.0
1,0,0,1,30,1,0,0,0,1,1,0,1,0,1,0,1,64.5,0,2.0
1,0,1,1,15,1,0,0,0,1,1,1,0,1,0,1,3,69.5,0,1.0
0,0,1,1,8,1,0,0,0,0,0,1,1,1,0,1,2,68.55,0,0.0
1,0,0,0,7,1,1,1,0,0,0,0,1,1,0,0,3,95.0,1,0.0
0,0,1,1,70,1,1,1,1,1,1,0,1,1,1,1,1,108.15,0,5.0
1,0,1,1,62,1,0,0,1,1,1,1,1,1,2,0,2,86.1,0,5.0
0,0,1,1,6,1,0,2,0,0,0,0,0,0,0,0,3,19.7,0,0.0
0,0,1,1,14,1,0,1,0,0,0,0,0,1,0,1,0,80.9,0,1.0
0,0,0,0,22,1,1,1,0,0,0,0,1,0,0,1,0,84.15,0,1.0
1,0,1,1,22,1,0,2,0,0,0,0,0,0,1,0,3,20.15,0,1.0
1,0,1,1,16,1,0,0,1,0,1,0,1,0,2,0,3,64.25,0,1.0
1,0,0,0,10,1,1,2,0,0,0,0,0,0,2,0,0,25.7,0,0.0
0,0,0,1,13,1,0,0,1,1,0,0,0,0,0,1,2,56.0,0,1.0
0,0,1,0,20,1,1,1,1,0,0,0,0,0,0,0,2,82.4,1,1.0
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,69.7,0,0.0
1,0,0,0,53,1,1,0,0,1,1,1,0,1,2,1,0,73.9,0,4.0
0,0,1,1,11,1,0,2,0,0,0,0,0,0,1,0,3,20.6,0,0.0
1,0,1,0,69,1,0,2,0,0,0,0,0,0,2,0,3,19.9,0,5.0
0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,0,70.9,1,0.0
1,0,1,0,72,1,1,0,1,1,1,1,1,1,2,1,0,89.05,0,5.0
1,1,1,0,58,0,0,0,0,1,1,0,0,1,0,1,2,45.3,1,4.0
0,0,1,1,16,1,0,2,0,0,0,0,0,0,0,0,2,20.4,0,1.0
1,0,1,0,43,1,0,1,1,0,1,1,0,0,1,1,0,84.25,0,3.0
0,0,1,0,2,1,1,1,0,0,1,1,1,1,0,1,2,104.4,1,0.0
1,0,1,0,14,1,0,0,0,1,1,1,1,1,2,0,3,81.95,0,1.0
0,0,1,0,53,1,0,1,0,0,1,0,1,1,1,1,0,94.85,1,4.0
0,0,0,0,32,1,0,2,0,0,0,0,0,0,1,0,0,20.55,0,2.0
0,0,1,0,34,1,1,2,0,0,0,0,0,0,0,0,2,24.7,0,2.0
0,1,0,0,15,1,1,1,0,0,0,0,0,0,0,1,3,74.45,1,1.0
0,1,0,0,7,1,0,1,1,0,0,0,0,0,0,0,0,76.45,1,0.0
0,0,1,1,15,1,1,1,0,1,1,0,1,1,0,1,0,105.35,0,1.0
1,0,1,0,61,1,0,2,0,0,0,0,0,0,1,1,1,20.55,0,5.0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,29.95,1,0.0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,45.3,0,0.0
1,0,0,0,8,1,1,1,0,0,0,0,0,1,0,0,0,84.5,1,0.0
1,0,1,1,33,1,0,0,1,0,1,0,1,1,1,0,1,74.75,0,2.0
0,0,0,0,13,1,0,1,0,1,1,0,0,0,0,1,2,79.25,1,1.0
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,24.8,1,0.0
1,0,0,0,20,1,0,0,0,1,0,0,0,0,0,1,3,51.8,0,1.0
1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,2,30.4,0,0.0
0,0,0,0,13,1,0,2,0,0,0,0,0,0,1,0,2,19.65,0,1.0
0,0,1,0,40,1,1,0,0,1,0,0,0,0,0,0,1,56.6,0,3.0
1,0,1,1,43,1,1,0,1,0,0,1,0,1,1,1,1,71.9,0,3.0
1,0,1,0,6,1,0,1,0,1,1,0,0,1,0,1,2,91.0,1,0.0
0,0,1,1,69,1,0,2,0,0,0,0,0,0,2,0,0,19.75,0,5.0
0,0,1,1,72,1,1,1,1,1,1,0,1,1,2,0,1,109.7,0,5.0
1,0,1,1,59,1,0,2,0,0,0,0,0,0,2,0,1,19.3,0,4.0
0,0,1,0,20,1,0,1,1,1,0,1,1,0,0,1,2,96.55,0,1.0
1,0,1,1,24,1,1,2,0,0,0,0,0,0,2,1,0,24.1,0,1.0
1,0,0,0,59,1,1,1,0,1,1,1,1,1,0,1,2,111.35,0,4.0
1,0,1,1,72,1,1,1,0,1,1,1,1,1,2,1,0,112.25,0,5.0
1,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,3,20.75,0,0.0
0,0,1,0,27,1,0,1,1,0,0,1,1,1,1,1,1,101.9,0,2.0
0,0,0,0,14,1,0,1,0,1,0,1,0,0,0,1,1,80.05,0,1.0
1,0,1,1,71,1,1,1,1,0,1,0,1,1,2,0,2,105.55,0,5.0
1,0,0,1,13,1,0,1,0,0,0,0,1,0,0,1,1,78.3,0,1.0
1,0,0,0,44,1,0,1,0,0,0,0,0,0,0,0,1,68.85,0,3.0
0,0,0,0,33,1,0,1,0,1,0,1,0,0,1,1,0,79.95,0,2.0
1,0,1,1,72,0,0,0,1,1,1,1,0,1,2,1,1,55.45,0,5.0
1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,2,79.9,1,0.0
0,0,0,0,19,1,0,1,1,0,1,1,1,1,0,1,2,106.6,1,1.0
1,0,1,0,64,1,0,1,0,1,1,1,1,1,1,1,1,102.45,0,5.0
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,46.0,1,0.0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,25.25,0,0.0
1,0,0,1,61,1,0,2,0,0,0,0,0,0,2,0,3,19.75,0,5.0
0,0,1,1,29,1,0,2,0,0,0,0,0,0,1,0,2,20.0,0,2.0
1,1,1,0,23,1,1,1,0,0,0,0,0,1,0,0,2,86.8,0,1.0
0,0,1,0,57,0,0,0,1,1,1,0,1,1,0,1,0,58.75,0,4.0
1,0,1,1,72,0,0,0,1,1,1,1,0,0,2,0,1,45.25,0,5.0
1,0,1,0,66,0,0,0,1,1,1,1,1,0,2,1,0,56.6,0,5.0
1,0,1,1,65,1,1,0,0,1,1,1,1,1,2,1,0,84.2,0,5.0
0,0,0,0,8,1,0,1,0,0,0,0,1,0,0,1,0,80.0,0,0.0
0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,2,70.15,1,0.0
0,0,1,0,71,1,1,2,0,0,0,0,0,0,2,0,0,24.75,0,5.0
1,0,1,1,1,1,0,2,0,0,0,0,0,0,1,1,2,20.2,0,0.0
1,0,1,0,4,1,0,0,0,0,0,1,0,0,0,0,3,50.05,1,0.0
0,0,0,0,12,1,0,2,0,0,0,0,0,0,1,1,0,19.35,0,0.0
1,0,0,0,24,0,0,0,1,0,0,0,1,1,1,1,3,50.6,0,1.0
0,0,1,1,31,1,0,0,1,0,1,1,1,1,1,1,3,81.15,0,2.0
0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,3,55.2,1,0.0
1,0,0,0,30,1,1,1,0,0,0,1,0,1,0,1,1,89.9,0,2.0
0,0,1,1,47,1,1,0,1,1,0,1,1,1,2,1,1,85.3,0,3.0
1,0,0,0,54,1,1,1,1,1,0,1,1,1,2,1,1,108.0,0,4.0
1,0,0,0,50,1,0,1,1,1,0,1,0,1,0,1,1,93.5,0,4.0
1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,3,84.6,1,0.0
0,0,0,0,72,1,0,2,0,0,0,0,0,0,2,0,1,20.25,0,5.0
0,0,0,0,29,1,1,2,0,0,0,0,0,0,0,0,2,25.15,0,2.0
1,0,0,0,2,1,1,0,0,1,0,0,0,0,0,1,3,54.4,1,0.0
0,0,0,0,10,0,0,0,0,0,0,1,0,0,2,1,3,29.6,0,0.0
1,0,1,0,18,1,1,1,0,0,0,0,0,0,0,1,2,73.15,0,1.0
0,1,0,0,11,1,0,1,0,1,0,0,1,1,0,1,2,95.0,1,0.0
1,0,0,0,16,1,0,2,0,0,0,0,0,0,2,0,3,19.75,0,1.0
0,0,0,0,72,1,1,0,0,1,1,1,1,1,2,0,0,86.6,0,5.0
1,0,0,0,72,1,1,1,0,1,1,1,1,1,2,0,0,109.2,0,5.0
0,0,1,1,41,1,0,0,1,0,0,1,1,1,1,1,1,74.7,0,3.0
0,1,1,0,65,1,0,1,1,1,1,0,0,1,0,0,2,94.4,0,5.0
0,1,0,0,13,1,0,0,0,1,1,0,0,0,0,1,2,54.8,0,1.0
1,1,0,0,4,1,0,1,1,0,0,0,0,0,0,0,2,75.35,0,0.0
1,0,0,0,41,1,1,0,0,0,1,0,0,1,1,0,3,65.0,0,3.0
1,1,0,0,15,1,0,1,0,1,0,0,0,0,0,1,2,74.4,1,1.0
1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,3,48.55,1,0.0
1,0,0,0,42,1,1,1,1,1,1,0,0,1,1,1,2,99.0,0,3.0
0,0,1,0,51,1,0,1,1,1,1,0,1,0,1,1,2,93.5,0,4.0
0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,2,70.4,1,0.0
1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,2,40.2,1,0.0
1,0,0,1,32,1,1,0,0,1,1,1,1,1,1,0,1,83.7,0,2.0
1,0,0,0,10,1,0,2,0,0,0,0,0,0,0,1,3,19.85,0,0.0
0,0,1,1,67,0,0,0,0,1,1,1,1,1,2,1,2,59.55,0,5.0
0,0,1,1,61,1,1,1,1,1,1,1,1,1,2,0,1,115.1,0,5.0
1,0,0,0,50,1,1,1,1,1,1,1,1,1,1,0,1,114.35,0,4.0
0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,1,44.6,1,0.0
0,1,1,0,29,0,0,0,1,0,1,0,0,1,0,1,2,45.0,0,2.0
1,1,0,0,3,0,0,0,0,0,1,0,0,1,0,1,2,41.15,1,0.0
1,1,0,0,13,1,1,1,0,1,1,0,1,1,0,1,2,106.9,1,1.0
1,1,1,0,57,1,1,1,0,1,0,0,0,1,0,1,2,89.85,0,4.0
0,0,0,0,31,0,0,0,1,1,0,1,0,1,2,1,0,49.85,0,2.0
0,0,1,0,45,1,1,1,1,1,1,1,1,1,1,0,3,113.3,0,3.0
0,0,1,1,61,1,1,0,1,1,1,1,1,1,2,0,3,88.1,0,5.0
1,0,0,0,50,1,1,2,0,0,0,0,0,0,2,0,0,24.9,0,4.0
0,1,0,0,19,1,0,1,1,1,0,1,1,1,0,1,3,105.0,0,1.0
1,0,0,0,59,1,0,2,0,0,0,0,0,0,2,0,3,19.35,1,4.0
0,0,1,0,71,1,1,2,0,0,0,0,0,0,2,1,1,24.25,0,5.0
0,1,0,0,16,1,0,1,0,0,0,1,1,1,0,1,2,94.45,1,1.0
1,0,1,0,57,1,0,0,1,1,0,1,0,0,2,1,2,59.75,0,4.0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24.8,1,0.0
1,1,1,0,20,1,1,1,0,1,0,1,1,1,0,0,2,107.05,0,1.0
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,70.6,1,0.0
1,0,1,0,5,1,1,1,0,1,0,1,0,0,0,1,2,85.4,1,0.0
0,0,1,0,52,1,1,1,0,1,1,0,1,1,0,1,2,105.05,1,4.0
1,1,1,0,21,1,0,0,1,1,0,0,0,1,0,1,0,64.95,0,1.0
1,0,0,0,14,0,0,0,0,0,1,1,1,1,0,1,2,55.0,0,1.0
0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,50.55,0,0.0
0,0,0,0,6,1,0,0,1,1,0,0,0,0,0,0,3,55.15,0,0.0
0,0,0,0,10,1,0,0,0,1,0,0,0,0,0,0,2,51.2,0,0.0
0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,3,25.4,0,0.0
0,0,0,0,68,1,1,0,1,0,0,0,0,0,0,0,3,54.45,0,5.0
1,0,1,1,18,1,0,1,0,0,1,0,1,1,0,0,3,95.15,1,1.0
0,0,0,0,22,1,1,1,0,0,0,0,0,0,1,1,1,76.0,0,1.0
0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,1,2,44.35,0,1.0
1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,2,70.0,1,0.0
1,1,0,0,8,1,0,1,0,1,0,0,0,0,0,1,2,74.5,1,0.0
1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,1,1,44.85,1,0.0
1,1,0,0,24,1,1,1,0,0,0,0,0,0,0,1,2,76.1,1,1.0
1,0,0,0,35,1,0,0,1,1,1,0,0,0,1,0,3,61.2,0,2.0
1,0,1,1,23,1,0,1,0,1,1,1,0,0,1,0,3,86.8,0,1.0
0,1,0,0,6,1,0,1,0,0,0,0,1,1,0,1,2,89.35,0,0.0
0,0,0,0,12,1,0,2,0,0,0,0,0,0,0,0,3,19.7,0,0.0
1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,3,20.25,0,0.0
0,0,1,1,71,1,0,1,0,0,1,0,0,0,2,0,2,76.05,0,5.0
1,1,1,0,35,1,1,1,0,0,1,0,1,1,0,1,2,100.8,0,2.0
1,0,1,1,40,1,1,0,0,0,1,0,1,1,0,1,2,74.55,0,3.0
0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,3,73.6,1,0.0
1,0,0,0,23,1,0,0,0,0,0,0,1,1,1,1,0,64.9,0,1.0
0,1,0,0,4,1,1,1,0,0,0,0,1,1,0,1,2,95.45,1,0.0
1,0,0,0,4,1,0,1,0,0,1,1,0,1,0,1,2,90.4,0,0.0
0,0,1,1,68,0,0,0,0,1,1,1,1,1,2,0,1,60.3,0,5.0
1,0,0,1,38,1,1,1,0,1,0,0,0,0,0,1,3,81.85,0,3.0
1,0,1,1,52,1,1,2,0,0,0,0,0,0,2,0,3,24.8,0,4.0
1,1,1,0,32,1,1,1,0,0,0,0,0,0,0,1,2,74.9,1,2.0
1,0,1,1,29,1,0,0,0,0,1,1,1,1,2,0,3,75.55,0,2.0
1,1,1,1,38,1,1,1,0,1,0,0,1,1,0,0,2,101.15,0,3.0
1,0,0,1,48,1,1,0,1,0,1,0,1,1,1,1,1,78.75,0,3.0
0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,19.25,0,0.0
0,0,0,0,22,1,0,1,1,0,0,1,0,1,0,1,2,89.05,0,1.0
